,Unnamed: 0,photo_url,link,name,central_distance,sustainability,rating,comfort_rating,review_count,room_description,room_specifics,price,original_price,neighborhood_city,start_date,end_date,map_lat,map_lng,name.1,description
0,0,https://cf.bstatic.com/xdata/images/hotel/square600/82282598.webp?k=155e86cc26360181c905ea79dd3c2dcbf9ed53c18d97abb42a86195dd3c8a1cf&o=,https://www.booking.com/hotel/us/hollywood-historic.html?label=gen173nr-1FCAEoggI46AdIM1gEaEaIAQGYATG4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AsHwyq0GwAIB0gIkNzA4ZWZiM2QtYjdhNC00M2ZhLWEwOGUtNzRhMjIwNGI4MDQ02AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-04-14&checkout=2024-04-21&dest_id=20014181&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&nflt=ht_id%3D204&srpvid=a1aa89f1488800ce&srepoch=1706211448&all_sr_blocks=24064802_375125927_0_0_0&highlighted_blocks=24064802_375125927_0_0_0&matching_block_id=24064802_375125927_0_0_0&sr_pri_blocks=24064802_375125927_0_0_0__110747&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Hollywood Historic Hotel,7.3,2.0,8.0,8.4,"3,576 reviews",King Room,1 king bed,1016,1116.0,"Hollywood, Los Angeles",2024/04/14,2024/04/21,34.08339513,-118.31305504,Hollywood Historic Hotel,"Just a 5-minute walk from Paramount Pictures, this hotel is 2 miles from the Hollywood Walk of Fame. It offers brightly decorated rooms with a flat-screen TV and free Wi-Fi.
Rooms at the Hollywood Historic Hotel feature the original fixtures from when the hotel was built in 1927. They also include a refrigerator, a TV with premium channels, ironing facilities, free bottled water, black out drapes. Pillow-top mattresses offer additional comfort. A work desk is also provided.
You will find a 24-hour front desk a the property. Guests can relax at the Edmon, an Old Hollywood 1920's bar, serving craft cocktails.
Hotel Hollywood Historic is 1 mile from Melrose Strip and the Greek theater.  Beverly Hills is within 6 miles of the hotel. Los Angeles International Airport is 15 minutes' drive away."
1,1,https://cf.bstatic.com/xdata/images/hotel/square600/99863844.webp?k=145393953b1822c158f42df0ff9be69cdf3def8693155618137c17ea92e4a659&o=,https://www.booking.com/hotel/us/erwin-venice.html?label=gen173nr-1FCAEoggI46AdIM1gEaEaIAQGYATG4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AsHwyq0GwAIB0gIkNzA4ZWZiM2QtYjdhNC00M2ZhLWEwOGUtNzRhMjIwNGI4MDQ02AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-04-14&checkout=2024-04-21&dest_id=20014181&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&nflt=ht_id%3D204&srpvid=a1aa89f1488800ce&srepoch=1706211448&all_sr_blocks=4548802_269048030_0_0_0&highlighted_blocks=4548802_269048030_0_0_0&matching_block_id=4548802_269048030_0_0_0&sr_pri_blocks=4548802_269048030_0_0_0__209692&nad_id=18d7c690-fe30-4753-90b1-04cda3cb620e_28&nad_cpc=0.8&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6IjhwUmN6WEcrbFVwMHdONFg4UTFmSW9SNWFNQmdEMG1hUitzNzE2bW1KQitldm41NmluZmR4WGh6dCtIdFVYall4RTluTi9wZnlPejlzRnYvMDl0R0Z2WjhBOENoODEzcmdZWW5NQVRCTUdDVHM4Y2RmZGhwVjJEeFdqOTlVWDQ1U0VBdmpwWHg0ZHpZZ3huM29ZMkEycjNXdFN4NTV3aEtVNmkwc09oUjFacUVMdE5qTHRJY05ybksvVjNXWVZrVFVTRVFIcGk1TCtWSTdKcjN1U3dxdnlMZU5QWTRjVmMvNDVDa09sWVkyTis1VlhOMTBnV3p6SEJFSE5EVWRNeFpHbzJhWUJIc3RUOUluZll3SHhtbkh6TkMrSGw5Y3NkcFlMQUV3TEV3UmJvbjhLUXBRZmZmV25FeDliQVZibzkwWm1HS3cvUTJmOFhaWm9WbTNZWWlEbUZKR25BaTg4RmY1WHJ0aHBMMXF2dzRKUWpvWERnYTdxWmRVbmhHSjNZK0FZLzJNOHkwR1lsV2VWWktBRW9qbWVLV3kwV1NwSGt1citCbGtxUVNKcmZMaXFNTGN2Z2Z5VmNKRWR1RHZsS0IvSllLYmxiREFMZk5JdXFHbGRhUElvMUZsQm1aamxzUGxydHA1R0VKTWFMUm5TUFdtZFBhOWo4L1VBMGJhVWtnY2ViaEVGS2FNSml5dFM1cnpEZlpxZWhOSTVwVEpCQ0R1czNabjhoZVVEK1phdVEyb1N0cEtPdDNRd1VyeXhPaGtZSnF1aFh3M2hVMGV3VU5BOWdRTnlSVm55S0RJeFVPYVlCSmVnWVM0VXdlWUl5OGNUM3h4dzA4Ky9FVFd4bGZ0VUs2T0dycDNVcHNkd2RaM0VVMWpjUXExVUpnT285THJzbGZTdGFZcC8vRCszRXhwQkpzK2ZEODBrVW1nOTljTWplTmw5M3NnSjVlbmF0TDFFaGw1VlJ4T3RaU2M5ZWxKNDRMemsyU3FhRldaZi8zdHhMTHJnOE85QS92THFteExRb2Z5MnNQOGR1dUJ6SHVmSUpna1pXQ1dzWW1nN2REdXA2SzFFWW1JYnpiV09tZWo5ci83Yys3MEhWVTFkMXRVWGpJUGVyUmxMUEoxY2VjNjlVeldFbmVPdlVLeVY5OVljb1VIazJ1QllrYlhvTy9reTZzd2R3elhTUkNNMU1VeUFkMnhzb3Y0OWw5VUhNdFNKRTdZQnRoWTBsZTN2V21rMVZRTDkvWXAxTGE0NjZlTitQdGdFRE1tbHBLM3BwV3JSRlgxN3lrNXhTdVlTbmM4ZzZBelVkM2JmRno0cFUvSUtubXRKMnVnVnI3SEFJamNUb2xqVnEzWGQzRUh2eUNxak5tM0RPcWh5aEc2TTl2Qjh4UWNTRVg1ZXBOV2RNK05iOUlwWDNQYUE2TUk3NnJtdFZONmlxQldTZXB4NkRPbUJjNG03Y3NNUDhMNmhuajRxZVVGd2JaSGY3R2hSREtrMzBGNGN5ZGd2dG04bnJCNTN0ZXgra2tZQVBnNk1mODJzVmM4ZlkxZjRzdktyRHg1MTllTkRMTVJnUERTZDZyanpBWUo4amlKbE5JTEJIZUVld0MrbGtNQkExVm5yczlUV3c0V2dTeEFPRjdGN3Q5aTFNNEFOUnVnR1BoOFhOcXRmMnBOQStnRUU2RHFJS3R6VEdsc2Z6QWFGN01mQWJrYm5SVTlWUi95Skh0ZjJlSWMzMWtRczhKekpDNENyUW8zVVJSRWtQR25PQ2p0K1FxT25YVUM3Q0Y0VFRrcUhnUTdYMDRFRDZRK3JTMENiRTUvZmdZVDhjQ0Z3YUtyc1dRazhqVStUTExGV09vZWJBcTR6NUQ5UUU2RlQ2U3FHZ1lwSGdXSkVWYklieHQ1Zlg2bnp0djdXR1pmYzBJdzFVUU1pSVYrRDF6RVpVTHRZcnU3SFp5TU5qVzJpY0dLdjYwdmd6VnhMYnF5blF0czV6bzVxZ241VTdabm5uVEdJU2RzSzZPcTRnQlRQc29sMWJ1S3NVWHlZVmdvdUNPTEcxWGJ4ZnJGM2hBanhpbnNKbk52bDFZbG9DOHZUWFhaZXp1bkJRTzlvOGV2dFFTS0J1Z25VNFUyanZ6SVNmWGZGTmVIK0dUbFlWZERIZEp4VjJWVG5xdDgxMC8zQmM0a1NsQkhZSG5WV3JvclpyVTc0UjVJL0ZGMytyUjNrK3JReW9nVnVJakptaGNNbVpLTUNZaWFYOVgwN2t5c3BvcWRnN2k5N2ROdnRLMHRLOGNLa3J0anZ1OWdGRnViLzcxbDJlaXlOeHgrRUlSd0ZEQ1dTeENGVnhQS0dabmlFdkJNNXpEWGFkSjFCNkdlNGZnbXhNOWRtMXNsNEw4ZW5pL2VsQzZLblBVYW5oUlBZTm84MXFUTGkyQVhVZVNaU1F1bVhEbXFhdTRKTi9wZkZFV1FIWmE3VFQ3YTQyQzV5YTA0QzQvbXlGN2FqOCtyL09nY3hwU0paOFpnQ2RhcnlVa25mbFRQSEJDdm9peGhsbnBROGpWcCtUNjdTOEFIaUpyUlRleUk3ZVY1ZGNKOHluVUR4WkxjcEpoKzEyekRNVXloNGhFSlMvdHZERzZJdTR0Y2Y3SUl1cVhjOHhMMDk5K25xUWhuL2hBSk9VYzRGdkUwMGlSWTJSdDd1bEI5SGFTeXZLN1JySmVkQXluSEZyc0U5MjlqcTBCT0p6ZzBLTSsybzlTYlBReTFXOTNWbGF6QklWMURiYmRmNjNxYnNjMUxMdUpGaEIweFhLR1htZGkyN1NjaHF6MmVwY0Z4NHRIMUpBTitmb2pNSzlLZ21SSkZRNHhlckJUMVErbmxwZXFNY25jT0pvVmRXRVJLZnllQ3JnYWJSbmJXL3g2TGgyTTRKRkZWMTE4c0VRUmtpWmd5VXJ0SGxLUUtDaE5NNzAxTVZFVnBGY0dscGhIRXRlRmVwUFNtV1lpOGNTOGk5ejVyL3Y2dXlOWGpiTXJyM3lWWHlwVjJJS3cyUUVNdUJKZlBBdDVtSDdYdDF1c3hwczlQYnFTcTRZM1F4eFVCUUJXUjd2eFhVLzJUeXhjS0psemFpTGw5djRDNzVQQlNrcXczV2J5SUMzc1k5SExuRWpMM3BxRWpRVUZxUVZlR1czS0R6c1lyQUNNSnExeVhpbDAzSGFFZEE3enZaV2RCOEY3bGlqeEdwVEk5d3d2SEpCRmNRcFdQZ2ZwSFJpeUFTQWNXMWtTS09vakVoZFkwYVlVRDF1bTBaMWwxclR6Ykd5QVhTVUR5T25Pb2FLWURienp5QzdqTDNrZyt0cnpEVTFKTWNrcjlRPT0ifQ%3D%3D&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Hotel Erwin,22.3,2.0,8.3,8.8,930 reviews,Partial Ocean View King,1 king bed,1924,2744.0,"Venice Beach, Los Angeles",2024/04/14,2024/04/21,33.98715488,-118.47204834,Hotel Erwin,"Overlooking the Pacific Ocean and down the street from the Venice Beach Boardwalk, this hotel offers  comfortable guestrooms with complimentary WiFi. An open-air rooftop lounge overlooking Venice Beach and the Pacific Ocean is available to guests, as well as an on-site restaurant.
Rooms at the Hotel Erwin include 49"" flat-screen HDTVs, iPod docking stations, work desks, and coffee and tea making facilities. Many rooms have balconies with ocean views and separate seating areas.
There is also a bike-hire available on-site. Other amenities available at the hotel include the on-site restaurant and the open-air rooftop lounge where guests can relax and have a drink.
Venice Way Pizza is open daily for lunch and dinner. The High Rooftop Lounge is the only rooftop bar in Venice.
Hotel Erwin is near the Venice Beach boardwalk, bicycle paths and rollerblading areas. Santa Monica and Marina del Rey are less than 1.2 miles away. Restaurants, museums, art galleries and shopping are also just minutes away."
2,2,https://cf.bstatic.com/xdata/images/hotel/square600/311014806.webp?k=3f56c31a7492d5f13c3b52535f2c5a39d36d0f8baaaece6cd3fef868ee6596fc&o=,https://www.booking.com/hotel/us/the-metric-los-angeles.html?label=gen173nr-1FCAEoggI46AdIM1gEaEaIAQGYATG4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AsHwyq0GwAIB0gIkNzA4ZWZiM2QtYjdhNC00M2ZhLWEwOGUtNzRhMjIwNGI4MDQ02AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-04-14&checkout=2024-04-21&dest_id=20014181&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&nflt=ht_id%3D204&srpvid=a1aa89f1488800ce&srepoch=1706211448&all_sr_blocks=729861311_383360845_2_1_0&highlighted_blocks=729861311_383360845_2_1_0&matching_block_id=729861311_383360845_2_1_0&sr_pri_blocks=729861311_383360845_2_1_0__164069&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,The Metric - Los Angeles Downtown,1.9,1.0,9.3,9.6,497 reviews,Urban King (No Parking),1 king bed,1505,1881.0,"Downtown LA, Los Angeles",2024/04/14,2024/04/21,34.058728,-118.261664,The Metric - Los Angeles Downtown,"Attractively located in the center of Los Angeles, The Metric - Los Angeles Downtown is within 1.5 miles of Staples Center and 1.6 miles of Microsoft Theater. Built in 2021, this 3-star hotel is within 2.1 miles of LA Union Station and 3.3 miles of Dodger Stadium. Free WiFi is available and private parking can be arranged at an extra charge.
The hotel will provide guests with air-conditioned rooms offering a desk, a safety deposit box, a flat-screen TV and a private bathroom with a shower. At The Metric - Los Angeles Downtown rooms contain bed linen and towels.
California Science Center is 3.7 miles from the accommodation, while Natural History Museum of Los Angeles County is 3.9 miles from the property."
3,3,https://cf.bstatic.com/xdata/images/hotel/square600/387574730.webp?k=0b598ce7970d6777d8c870fdf98452b5ee67b110bef10adb0ecf322bb1431abc&o=,https://www.booking.com/hotel/us/iconic-monroe-2-bedroom-condo-on-hollywood-walk-of-fame.html?label=gen173nr-1FCAEoggI46AdIM1gEaEaIAQGYATG4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AsHwyq0GwAIB0gIkNzA4ZWZiM2QtYjdhNC00M2ZhLWEwOGUtNzRhMjIwNGI4MDQ02AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-04-14&checkout=2024-04-21&dest_id=20014181&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&nflt=ht_id%3D204&srpvid=a1aa89f1488800ce&srepoch=1706211448&all_sr_blocks=710275405_346595212_4_0_0&highlighted_blocks=710275405_346595212_4_0_0&matching_block_id=710275405_346595212_4_0_0&sr_pri_blocks=710275405_346595212_4_0_0__178098&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Gorgeous Hollywood Apts LA's Best Location and Amazing Roof Deck,4.3,1.0,8.6,8.8,"1,120 reviews",One-Bedroom Apartment,"2 beds (1 full, 1 sofa bed)",1634,1801.0,"Koreatown, Los Angeles",2024/04/14,2024/04/21,34.05607814,-118.28989209,Gorgeous Hollywood Apts LA's Best Location and Amazing Roof Deck,"Gorgeous Hollywood Apts LA's Best Location and Amazing Roof Deck is a sustainable condo hotel in Los Angeles where guests can make the most of its garden and terrace. The air-conditioned accommodations are 1.9 miles from Staples Center, and guests can benefit from private parking available on site and free Wifi. The condo hotel has an outdoor fireplace and a fitness room.
The units come with parquet floors and feature a fully equipped kitchen with a dishwasher, a flat-screen TV with streaming services, and a private bathroom with bath and a hair dryer. A microwave, a toaster, and fridge are also offered, as well as a coffee machine and a kettle. At the condo hotel, the units have bed linen and towels.
For those times when you'd rather not eat out, you can cook on the barbecue.
Fitness classes are available at the property. An indoor play area is also available for guests at the condo hotel.
Microsoft Theater is 1.9 miles from Gorgeous Hollywood Apts LA's Best Location and Amazing Roof Deck, while Natural History Museum of Los Angeles County is 2.9 miles from the property. The nearest airport is Hollywood Burbank Airport, 11 miles from the accommodation."
4,4,https://cf.bstatic.com/xdata/images/hotel/square600/382252371.webp?k=a99587028d60a7f1d228b149833cadc1aa0b36f2d5b3d6a599ef87aee1e4da77&o=,https://www.booking.com/hotel/us/park-plaza-lodge.html?label=gen173nr-1FCAEoggI46AdIM1gEaEaIAQGYATG4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AsHwyq0GwAIB0gIkNzA4ZWZiM2QtYjdhNC00M2ZhLWEwOGUtNzRhMjIwNGI4MDQ02AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-04-14&checkout=2024-04-21&dest_id=20014181&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&nflt=ht_id%3D204&srpvid=a1aa89f1488800ce&srepoch=1706211448&all_sr_blocks=2170007_99841145_2_0_0&highlighted_blocks=2170007_99841145_2_0_0&matching_block_id=2170007_99841145_2_0_0&sr_pri_blocks=2170007_99841145_2_0_0__142828&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Park Plaza Lodge,10.2,1.0,8.6,9.0,"2,709 reviews",Deluxe Queen Bed,1 queen bed,1310,1440.0,Los Angeles,2024/04/14,2024/04/21,34.07012913,-118.35135967,Park Plaza Lodge,"Downtown in the vibrant city of Los Angeles, California, this hotel has convenient services in Hancock Park, which is also known as the Miracle Mile.
Park Plaza has a helpful concierge service that can provides guests with tour arrangements, dinner reservations, spa appointments and transportation services. After a day of exploring the city, take a swim in the pool or check email using the wireless internet.
Visit The Grove, just half a mile away, a Los Angeles hot spot with a multi-Cineplex and fine shopping opportunities. Rodeo Drive, Sunset Strip and CBS Studios are within 5 miles of the Park Plaza Lodge."
5,5,https://cf.bstatic.com/xdata/images/hotel/square600/399924313.webp?k=44a3014710a5a6969ee066e97ae67970332e5f293c9a43bd58846fbad5b74515&o=,https://www.booking.com/hotel/us/hollywood-cosmopolitan-apartments.html?label=gen173nr-1FCAEoggI46AdIM1gEaEaIAQGYATG4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AsHwyq0GwAIB0gIkNzA4ZWZiM2QtYjdhNC00M2ZhLWEwOGUtNzRhMjIwNGI4MDQ02AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-04-14&checkout=2024-04-21&dest_id=20014181&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&nflt=ht_id%3D204&srpvid=a1aa89f1488800ce&srepoch=1706211448&all_sr_blocks=723037211_360678117_4_0_0&highlighted_blocks=723037211_360678117_4_0_0&matching_block_id=723037211_360678117_4_0_0&sr_pri_blocks=723037211_360678117_4_0_0__173712&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Hollywood Homes minutes to everything SPACIOUS AND FREE PARKING,7.6,1.0,8.8,9.0,966 reviews,One-Bedroom Apartment,"2 beds (1 sofa bed, 1 queen)",1593,2063.0,"Hollywood, Los Angeles",2024/04/14,2024/04/21,34.08666249,-118.31486758,Hollywood Homes minutes to everything SPACIOUS AND FREE PARKING,"Hollywood Homes minutes to everything SPACIOUS AND FREE PARKING is a sustainable condo hotel in Los Angeles, 2 miles from Capitol Records Building. This property encourages guests to embrace nature with its eco-friendly arrangements. This condo hotel offers free private parking, a 24-hour front desk, and free Wifi. The condo hotel has private entrance.
At the condo hotel, units are equipped with air conditioning, a seating area, a flat-screen TV with streaming services, a kitchen, a dining area, and a private bathroom with a hair dryer, a bath, and free toiletries. A dishwasher, an oven, and microwave are also offered, as well as a coffee machine and a kettle. At the condo hotel, the units come with bed linen and towels.
The condo hotel has a picnic area where you can spend the day outdoors.
Dolby Theater is 2.9 miles from the condo hotel, while Hollywood Bowl is 3.1 miles from the property. The nearest airport is Hollywood Burbank Airport, 8.7 miles from Hollywood Homes minutes to everything SPACIOUS AND FREE PARKING."
6,6,https://cf.bstatic.com/xdata/images/hotel/square600/317354547.webp?k=9c6e04c5a83a1b809e69cb8151ce549e71ee1e1d9699a5125f5e8b9c5af6f978&o=,https://www.booking.com/hotel/us/los-angeles-deluxe-3br-amp-3bt-villa-suites-with-free-parking.html?label=gen173nr-1FCAEoggI46AdIM1gEaEaIAQGYATG4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AsHwyq0GwAIB0gIkNzA4ZWZiM2QtYjdhNC00M2ZhLWEwOGUtNzRhMjIwNGI4MDQ02AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-04-14&checkout=2024-04-21&dest_id=20014181&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&nflt=ht_id%3D204&srpvid=a1aa89f1488800ce&srepoch=1706211448&all_sr_blocks=768530201_356975717_7_0_0&highlighted_blocks=768530201_356975717_7_0_0&matching_block_id=768530201_356975717_7_0_0&sr_pri_blocks=768530201_356975717_7_0_0__216140&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Los Angeles 3BR Villa Suites with Free Parking,10.2,2.0,8.4,8.6,79 reviews,Three-Bedroom Villa,"4 beds (2 fulls, 1 king, 1 queen)",1983,3095.0,Los Angeles,2024/04/14,2024/04/21,34.04844607,-118.35370497,Los Angeles 3BR Villa Suites with Free Parking,"Los Angeles 3BR Villa Suites with Free Parking is a sustainable condo hotel in Los Angeles where guests can make the most of its garden and terrace. There's a private entrance at the condo hotel for the convenience of those who stay. The condo hotel provides rooms with air conditioning, free private parking, and free Wifi.
Each unit has a balcony, a fully equipped kitchen with a microwave, a dining area, and a seating area with a flat-screen TV, while the private bathroom includes a bath and a hair dryer. A fridge, a stovetop, and kitchenware are also featured, as well as a coffee machine and a kettle. At the condo hotel, all units include bed linen and towels.
Dining options are available close to the condo hotel.
The condo hotel has a picnic area where you can spend the day outdoors.
Petersen Automotive Museum is 1.5 miles from Los Angeles 3BR Villa Suites with Free Parking, while Los Angeles County Museum Of Art (LACMA) is 1.8 miles away. The nearest airport is Los Angeles International Airport, 10 miles from the accommodation.
Distance in property description is calculated using © OpenStreetMap
Show me more"
7,7,https://cf.bstatic.com/xdata/images/hotel/square600/337344560.webp?k=af25b8f15af686e284ad7b1ef420a92d49b830d56b14737ec4b40bf8d40dbcd2&o=,https://www.booking.com/hotel/us/farmers-daughter.html?label=gen173nr-1FCAEoggI46AdIM1gEaEaIAQGYATG4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AsHwyq0GwAIB0gIkNzA4ZWZiM2QtYjdhNC00M2ZhLWEwOGUtNzRhMjIwNGI4MDQ02AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-04-14&checkout=2024-04-21&dest_id=20014181&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&nflt=ht_id%3D204&srpvid=a1aa89f1488800ce&srepoch=1706211448&all_sr_blocks=35341505_344123480_0_42_0&highlighted_blocks=35341505_344123480_0_42_0&matching_block_id=35341505_344123480_0_42_0&sr_pri_blocks=35341505_344123480_0_42_0__226603&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Short Stories Hotel,11.2,2.0,8.7,9.3,611 reviews,Signature King,1 king bed,2079,2722.0,"Fairfax District, Los Angeles",2024/04/14,2024/04/21,34.07373728,-118.36169556,Short Stories Hotel,"Short Stories is located in the center, a short walk to the best shopping, dining, and museums the city has to offer.
The property offers comfortable rooms. Each room features local artwork and custom décor, every room is outfitted with its own.
Short Stories Restaurant serves our take on California cuisine, fresh, seasonal ingredients by the diversity of California by way of the Far East, Latin America and the Mediterranean."
8,8,https://cf.bstatic.com/xdata/images/hotel/square600/461335561.webp?k=6129f18ce69e0a330df1e4f18641fb4c2f3cefb8f0f682678387e19b28ebf924&o=,https://www.booking.com/hotel/us/santa-monica-dreaming-luxurious-2-bedrooms-condo-walk-to-beach-limited-time-free.html?label=gen173nr-1FCAEoggI46AdIM1gEaEaIAQGYATG4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AsHwyq0GwAIB0gIkNzA4ZWZiM2QtYjdhNC00M2ZhLWEwOGUtNzRhMjIwNGI4MDQ02AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-04-14&checkout=2024-04-21&dest_id=20014181&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&nflt=ht_id%3D204&srpvid=a1aa89f1488800ce&srepoch=1706211448&all_sr_blocks=894222702_363427941_4_0_0&highlighted_blocks=894222702_363427941_4_0_0&matching_block_id=894222702_363427941_4_0_0&sr_pri_blocks=894222702_363427941_4_0_0__216980&from=searchresults#hotelTmpl,Cityscape Luxury Rental Homes in the Heart of Los Angeles,0.7,,8.9,9.3,411 reviews,One-Bedroom Apartment,"3 beds (2 fulls, 1 sofa bed)",1990,,"Downtown LA, Los Angeles",2024/04/14,2024/04/21,34.04851365,-118.23661878,Cityscape Luxury Rental Homes in the Heart of Los Angeles,"Located in downtown los Angeles, Cityscape Luxury Rental Homes in the Heart of Los Angeles features accommodations with a free WiFi, a fitness center and a shared lounge.
Accommodations is fitted with air conditioning, a fully equipped kitchen with a dining area, a flat-screen TV and a private bathroom with shower, free toiletries and a hairdryer. A fridge, an oven and dishwasher are also available, as well as a coffee machine and a kettle.
The aparthotel features amenities such as an on-site business center and sauna.
A sun terrace is available for guests to use at Cityscape Luxury Rental Homes in the Heart of Los Angeles.
The nearest airport is Long Beach Airport, 17 mi from Cityscape Luxury Rental Homes in the Heart of Los Angeles.The nearest beach is Santa Monica"
9,9,https://cf.bstatic.com/xdata/images/hotel/square600/477820614.webp?k=11ab80b341d7e2dca525ca4999efc649a17eac4ade1c43d7b59b8b24927e6945&o=,https://www.booking.com/hotel/us/tommie-hollywood.html?label=gen173nr-1FCAEoggI46AdIM1gEaEaIAQGYATG4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AsHwyq0GwAIB0gIkNzA4ZWZiM2QtYjdhNC00M2ZhLWEwOGUtNzRhMjIwNGI4MDQ02AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-04-14&checkout=2024-04-21&dest_id=20014181&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&nflt=ht_id%3D204&srpvid=a1aa89f1488800ce&srepoch=1706211448&all_sr_blocks=762428006_333406640_2_2_0&highlighted_blocks=762428006_333406640_2_2_0&matching_block_id=762428006_333406640_2_2_0&sr_pri_blocks=762428006_333406640_2_2_0__179273&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"tommie Hollywood, part of Jdv by Hyatt",9.1,2.0,8.0,8.7,"1,581 reviews",King Room,1 king bed,1644,,"Hollywood, Los Angeles",2024/04/14,2024/04/21,34.092859,-118.32934,"tommie Hollywood, part of Jdv by Hyatt","Located in Los Angeles, a 17-minute walk from Capitol Records Building, tommie Hollywood, part of Jdv by Hyatt provides accommodations with an outdoor swimming pool, private parking, a fitness center and a terrace. With a restaurant, the 4-star hotel has air-conditioned rooms with free WiFi, each with a private bathroom. Guests can have a drink at the bar.
At the hotel, the rooms include a desk. Each room comes with a flat-screen TV, and certain rooms at tommie Hollywood, part of Jdv by Hyatt have a city view.
With staff speaking English and Spanish, guidance is available at the reception.
Dolby Theater is 1.6 miles from the accommodation, while Hollywood Bowl is 1.9 miles away. The nearest airport is Hollywood Burbank Airport, 7.5 miles from tommie Hollywood, part of Jdv by Hyatt."
