,photo_url,link,name,central_distance,sustainability,rating,comfort_rating,review_count,room_description,room_specifics,price,original_price,neighborhood_city,start_date,end_date,name,description
0,https://cf.bstatic.com/xdata/images/hotel/square200/511529543.webp?k=023bbf7d4e8dda4d937ab4c8175cd5b6bd403e940d8f9b350f21d88057ecd6d1&o=,https://www.booking.com/hotel/es/sixtytwo-barcelona.html?label=gen173nr-1FCAEoggI46AdIM1gEaEaIAQGYATG4ARnIAQ_YAQHoAQH4AQKIAgGoAgO4AoWy7a0GwAIB0gIkYTEyZTE0MmUtNjQzMy00NGRjLWI4NDctMDcyYWRlMjA3OGYw2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-03&checkout=2024-06-09&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&nflt=ht_id%3D204&srpvid=551f3d1d747e00f1&srepoch=1706776913&all_sr_blocks=18918409_91912070_0_2_0&highlighted_blocks=18918409_91912070_0_2_0&matching_block_id=18918409_91912070_0_2_0&sr_pri_blocks=18918409_91912070_0_2_0__185664&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Sixtytwo Hotel,0.8,1.0,9.2,9.8,1833.0,Standard Double Room,Beds: 1 double or 2 twins,1857,3051.0,"Eixample, Barcelona",2024/06/03,2024/06/09,Sixtytwo Hotel,"Located next to Barcelona’s Passeig de Gracia Station, this boutique hotel offers a stylish lounge. Rooms include a flat-screen TV and free WiFi.
The Sixtytwo Hotel is set in a characteristic 19th-century building. Each elegant room comes with a Nespresso coffee machine and a mini-bar. Some overlook Passeig de Gràcia Boulevard, while others overlook the hotel´s charming Japanese-style garden.
A continental breakfast is served daily at a cafe nearby. Staff at the 24-hour reception can help arrange car hire.
This boutique hotel offers 45 spacious and stylish rooms. It is located in Barcelona's famous Passeig de Gràcia, next to Diagonal Avenue, the city’s best shopping area, where you can also find a wide variety of restaurants and tapas bars.
Hotel Sixtytwo is across the road from Gaudí’s Casa Batlló, and La Pedrera is just 3 minutes' walk away. It is just a 10-minute walk from Plaza Catalunya. Nearby Passeig de Gràcia Station offers Metro services and direct airport trains."
1,https://cf.bstatic.com/xdata/images/hotel/square200/322289179.webp?k=1308ce129e4e865d9659d006438570def1c988ee6707b1ebf9ddf39342166f09&o=,https://www.booking.com/hotel/es/melia-barcelona-sky.html?label=gen173nr-1FCAEoggI46AdIM1gEaEaIAQGYATG4ARnIAQ_YAQHoAQH4AQKIAgGoAgO4AoWy7a0GwAIB0gIkYTEyZTE0MmUtNjQzMy00NGRjLWI4NDctMDcyYWRlMjA3OGYw2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-03&checkout=2024-06-09&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&nflt=ht_id%3D204&srpvid=551f3d1d747e00f1&srepoch=1706776913&all_sr_blocks=9755026_91989330_2_34_0&highlighted_blocks=9755026_91989330_2_34_0&matching_block_id=9755026_91989330_2_34_0&sr_pri_blocks=9755026_91989330_2_34_0__19634222440&nad_id=523a49c0-eb19-4b1d-94f1-a7da3d8f8e03_3&nad_cpc=0.93&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6Ikw4aEtqODZOVTJvb1lPVlJqNkIzMTQ2NE5ob0MvamdkM3E4M081bHFndGJsMHJPNTNtVXdBdk56ZitwTTFMSWJGbjBHbmZOM0NrOE5iR1RDaExsU0ZLVWpDTlRuMVNpSVBudGVIZkYzemRnOWFzRThlbHFHam5DN3UxTzVRWUQ3RGphYWhJVlpwVm0rdmtPaHBJT2xKblFQcGlCR0JRbjVMZjh2V093MnY5VC9wS1Rlb1VUOU80SlV3ekhTQko4WmsxL3Q4aVNmM213S3UzOTg1OEZ5bW52TUd3N0dFUmZqQnFtNXUzR2pUTXdsUWxIeER4RTh2VnBMeCs2elIxdFNlME5wOWM2TFkzU0pMTkhBdVB2NTAyQzkybG9LeFByck0vQlp5RzVkRkNmdlh5V2VGd1pJaXlPUmM1eERXSGEwckJCMUhvWk41RGovc1l4SzR3QzYvM2MrOHkxVmhxOWNXSlRVaklBQkVlVUdKSTBUSnVuMC9PTjlJa3pRWmZjMlF3WC9YUVVhQ2VzUlZhQ0ZNYm1jVnljaXYrbjJCNnJkMkhRWlBKeVM4NkczYTFBQmw4Z09uTS9XUm1KK1ZzSDUwOVh3ME00TFlmcDFySlJwSjVSaFBRa0lGWkp3c1FnWk5zSGprQlhQbERLUkx5TEUvN0cyR0NMUSs0TkhYQllscGRIWUU5ZzMrS3dHb2czd2JQdXZibVNsaUNtbkdTM0lBdlI2d1lqbWNvenZTanV0d1hodXNrTVh0VFVYenU2cTkzTlJ0cjF4N2FNb0dlUTI0MWZueWlXRXpRTG42bS9nYnNRYlc3NjZGYUlVZkZrTmtFYXo4RmtNS2J1RVpESVFQdWQzNmtuMVVYblZ3Z3p3cHF1aEZuUjhRSmxSNFV6NFdHYnhtaEQ1T0hLRTM5RkFXdTZPdk5GdGs1RFRlR0N3dldFcnBxWE5MZ25LQ050c1RpZ0xFYnliMHlVTEo2OEpBWGJxak1hbDNiR1ZYMFJMQnNqYkNVWmN2dXcyQjFEQU94akcyWXFGT045VVhGUE41MFhwazR2NURzNkVrZTJjRXVxOHJzSTRqMmJ4OVI3R3V1NFJTV3lxOE5jOG1HRTJ5cS9CdGwyZ1hQYVZpVUhKQUFuQ3RPOGk5bDVnNjFrS1ZBZWhCTEQ3UThxNUlRTXFYUWN1TnNxVVdTT21tWW4xYk96TW5UWmNRSGNZVi9YcW9IeUNtenVxNFpIeS9ZMzZtWTZJL0hlRVFzSTY1Mm1wZjVkMklWcFpjdVRZT0VpMThOandXYVBPZXZ3K0V5c0I0TDdOYXlsazM0QlpXNGxBYm5pZkNwVGxKWnNxSFRMbG82dTZQWEhra1IrY2QzUnd5cnR4SFJ5YTRJRXM1S0F2Q29Eelkrb0pScWY3V2Y5azhic1F4aUZsZE5icnMzNmt5NWxJVHlzT3RUS2dWSWZTUFhOZlh0SHdtTS9TcDVDNVNEaWJkR1dseFo2SldaTGN4UFBZbDQrc05YanlPOUNXSWc1VEw4VVkwWFh3TjZNTW90WnlBMWZwajErRlJVbURVL3hsRFpzWEtFUVNOWU5tYmtwMXFXT3lTMWNIYWVpem9Xamhub0xHVUFqME9OQlNON0QyTTVwWXhjL09nUlpjSE1kTVppZ0lXQmd2UGhmU3RSRXMyUXQwd25ja1VLdmFzRWZ2dkJ3aDZNdkVKYXlMakx1RFFyZ2NXWXBodnQ2THFoWFFEeXBIY0xackJFcXBpRFJ4N2EwaGhwdnVvRmk3QnBVM3dwSVYxWTJUTExlU3JyY3h4NlZSNXYxK0tXMTlEQ0xwSmRzUExRZGM4Y2RkbW92UTBSN25MRjM4WE1Dbm1YZlgvZFc4aGZQWldkUE1nOVRrUlkremw4dlloRUR3elBzcFlldFhKRVArV0JtbVphNWhObU1KRTJKd1JyNEVzWVVNcVdpZjArTlNQcXVtamh4VVhoYmhzZHFHVmVGZGtnWmtWb04yU1p3dFRmeU13RWw3U3llTThMK3lPQzZpTG93ZUg3aFppZ1lSaFNzeHFEcmFDT3NYUThLUWc3SGhzdkNXV1pXTjFseFFqNzAzNWRyZkJIK3R4aHNzdWN0Zk5nTkxZckFYSkpEZlF6TXhXcHpNMXN4NnROQjNaQk9tVUFuU1FkUnBTdHpPS081ODVUcCtwL1F3TzZUbFVvVmRtSWVzYndNbE9sN3B5Yy9NUGN4dWZsWHUrTnBOOHl5NDM0QWxTM0xJREhHOGtQNWpjTGlBNkxSNGNhbVdrM3RoVmpKa1VKVFZxNm9ieFhKR01xYlBFdWt0SndyTlZFN1NzVFI3cVRhYm8zV00rVDFGcnNTZzlMRkt4M2tjWXZoV1NrOTAxZnNud25CYlFWQ0UzN29YQWI1V0V6b214N1VSSDVJNUgrRVVPU2hDRnl6VnRlaWhYRm81Qzh5YlhNNFNqK3J0eWEzK3dpdm51ZnVpbzBEVXVldUhDb0FHNjV0TXlDYmpjK09GMmdJSlhONXd5QkdsRmNtWU02b3hocThzaWJkcmxSdzkwTTdlM0wyK1ExTFJCMU5DR3VrS1hKSGZyYm1ZQURlQ0gzZHdNZERpU1NSS3N0M1VTL1R1cmt6OU1jdDRXYXlpamxMbUhwN0FiMDllb2NzT09nNzNtM0VrNXF1c1A3VUg2QzZ0dUVIVmhuenBnMVFhVXdLNkZCbE5TdXc4SVpYY0FsSUNhN1F2MG91Mm9HbVJIMitXemhYTVdoMGZYamt6SWtEd0ZDNy9iUCswWGRPV1FVNFlTWG9oaHdOa2hpZkdWWWRtZjlSc3hmcmtzTG9JL09vcldYdHJNcXdyOXBQVklOVU94d005OS9Ed1E4Z1IxTTVYVlhqL1F0NXhVeS9YbC84Sk1tV2VjRXF5ZlE3VUdjb3FWbDdvNGhQcmI0dVZyRVc1SUR5bkJYRXEzTTdHRmNrcXowdDFlR0FRRkZTMm1OYUpwVDc4UTJHUHlxRFRLMHdqalZKOUxxL2xFaUtWK05VTFI4UjZldGhhVXJwVGFFVk15Zmg1dWJpU0FKL0hjUHc4YzRNYU04QndraEhBRDFoVWVWZUVCQVhTaHJKN0U5UWN4VmxqWXFWSUdpdHA1V2hBSXdoQkk2TTI0dkFGSkZUL3VNZ0RsN1lZam9KLzZIb2Rod0ZFM3BsRHdKc0UxN28rRUpVeDd1VC9PSjJXZUVxbkIydXFrS0dUWmFEVG5kVEw4SUEwSXdoNytsWHk4amVBZ0xyNFBReUVlcnFZVU5vPSJ9&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Melia Barcelona Sky 4* Sup,3.3,1.0,8.2,,1291.0,The Level Grand Premium Room City View,Beds: 1 double or 2 twins,196342224,,"Sant Martí, Barcelona",2024/06/03,2024/06/09,Melia Barcelona Sky 4* Sup,"One of Barcelona’s tallest buildings, this design hotel offers spectacular views over the city and sea. Melia Barcelona Sky features an outdoor swimming pool. Treatments are available at the Serena SPA Wellness and free access is offered to the gym.
Each spacious room at Melia Barcelona Sky includes a 32-inch plasma-screen TV and offers city views. The stylish bathrooms come with a rain shower.
You can enjoy a cocktail on the 24th floor, at the Skyline 24 Panoramic Terrace, which offers views over the city.
El Merkado Restaurant serves Mediterranean cuisine, and you can enjoy a cocktail on its terrace. WiFi is free in all areas.
Located in the lively area of Poblenou, Melia Barcelona Sky is just 656 feet from Poble Nou Metro Station. The Forum and the International Convention Center are within a 15-minute walk. The Mar Bella beach is only 10 minutes' walk of the hotel."
2,https://cf.bstatic.com/xdata/images/hotel/square200/425409731.webp?k=ef8a0d79f58a19229922d43f53abe87458b89e85e9eaf43b4222607dfef64782&o=,https://www.booking.com/hotel/es/sansi-barcelona-barcelona.html?label=gen173nr-1FCAEoggI46AdIM1gEaEaIAQGYATG4ARnIAQ_YAQHoAQH4AQKIAgGoAgO4AoWy7a0GwAIB0gIkYTEyZTE0MmUtNjQzMy00NGRjLWI4NDctMDcyYWRlMjA3OGYw2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-03&checkout=2024-06-09&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&nflt=ht_id%3D204&srpvid=551f3d1d747e00f1&srepoch=1706776913&all_sr_blocks=0_0_2_0_0&highlighted_blocks=0_0_2_0_0&matching_block_id=0_0_2_0_0&sr_pri_blocks=0_0_2_0_0__103406&from=searchresults#hotelTmpl,Hotel Sansi Barcelona,450.0,,8.0,,780.0,Basic Double,1 full bed,1034,,"Eixample, Barcelona",2024/06/03,2024/06/09,Hotel Sansi Barcelona,"In a prime location in the Eixample district of Barcelona, Hotel Sansi Barcelona is located a 7-minute walk from Plaça Catalunya, 500 yards from Passeig de Gracia Metro Station and a 6-minute walk from Casa Batllo. This 4-star hotel offers room service, a 24-hour front desk and free WiFi. The property is a 5-minute walk from Passeig de Gracia, and within 600 yards of the city center.
The hotel will provide guests with air-conditioned rooms with a desk, a safety deposit box, a flat-screen TV and a private bathroom with a bath.
Popular points of interest near Hotel Sansi Barcelona include Boqueria Market, Tivoli Theatre and Palau de la Musica Catalana. The nearest airport is Barcelona-El Prat Airport, 8.1 miles from the accommodation."
3,https://cf.bstatic.com/xdata/images/hotel/square200/296559022.webp?k=15cda8a50cfb3f9a8f964c404150135b7bac39cf86988bd7d562dc96e915d7a2&o=,https://www.booking.com/hotel/es/hotelalimara.html?label=gen173nr-1FCAEoggI46AdIM1gEaEaIAQGYATG4ARnIAQ_YAQHoAQH4AQKIAgGoAgO4AoWy7a0GwAIB0gIkYTEyZTE0MmUtNjQzMy00NGRjLWI4NDctMDcyYWRlMjA3OGYw2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-03&checkout=2024-06-09&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&nflt=ht_id%3D204&srpvid=551f3d1d747e00f1&srepoch=1706776913&all_sr_blocks=9045003_0_2_0_0&highlighted_blocks=9045003_0_2_0_0&matching_block_id=9045003_0_2_0_0&sr_pri_blocks=9045003_0_2_0_0__65904&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Hotel Alimara,5.5,1.0,8.3,,3894.0,Double or Twin Room,2 twin beds,659,,"Horta-Guinardó, Barcelona",2024/06/03,2024/06/09,Hotel Alimara,"Hotel Alimara is a modern hotel located in Barcelona’s Horta district. It has a central garden, several meeting rooms, rooms with flat-screen TVs, and a fitness center.
All rooms at the Alimara Hotel have both air conditioning and heating. They all have a private bathroom with hairdryer.
The Alimara’s restaurant serves Mediterranean food with a modern twist and there are children’s menus available. The hotel bar, SUMMUM, features a terrace and serves food, drinks and snacks.
The hotel is located 1 minutes' walk from Mundet Metro Station, and it is a 12-minute journey into central Barcelona. Gaudí’s iconic Parc Güell is 4 Metro stops away from Mundet."
4,https://cf.bstatic.com/xdata/images/hotel/square200/496364332.webp?k=d562078b9f3df273686f22701f7183eb2480276afb32680c5d577e840c49ff2b&o=,https://www.booking.com/hotel/es/cataloniatenas.html?label=gen173nr-1FCAEoggI46AdIM1gEaEaIAQGYATG4ARnIAQ_YAQHoAQH4AQKIAgGoAgO4AoWy7a0GwAIB0gIkYTEyZTE0MmUtNjQzMy00NGRjLWI4NDctMDcyYWRlMjA3OGYw2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-03&checkout=2024-06-09&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&nflt=ht_id%3D204&srpvid=551f3d1d747e00f1&srepoch=1706776913&all_sr_blocks=9059407_372580272_0_2_0&highlighted_blocks=9059407_372580272_0_2_0&matching_block_id=9059407_372580272_0_2_0&sr_pri_blocks=9059407_372580272_0_2_0__102880&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Catalonia Atenas,3.0,3.0,8.2,,7692.0,Double or Twin Room,Beds: 1 double or 2 twins,1029,,"Sant Martí, Barcelona",2024/06/03,2024/06/09,Catalonia Atenas,"Set 3 metro stops from central Barcelona, the Atenas Catalonia has a rooftop swimming pool, offering views of the nearby Torre Agbar and Sagrada Familia. It also features free WiFi, a gym and a spa with a Turkish bath.
The bright rooms of Hotel Atenas Barcelona have simple décor with wooden flooring. Each has air conditioning, a mini fridge with complimentary water, and satellite TV.
The hotel's buffet breakfast features a show kitchen. There is a snack bar and guests can enjoy stunning city views from the pool, set on the 11th floor.
The Sagrada Familia is just over one mile from the hotel, while Glòries shopping center can be reached in 15 minutes by foot.
The Catalonia Atenas has a convenient left luggage service, on-site parking, and is 2 minutes’ walk from Clot Metro Station; and 656 feet from Clot Train Station; here you can take a direct train to Barcelona Airport."
5,https://cf.bstatic.com/xdata/images/hotel/square200/300191662.webp?k=3955abf4a9d0e78852e3334b0ced089879a28a4e6e334030a06aa4755c583404&o=,https://www.booking.com/hotel/es/confortel-auditori.html?label=gen173nr-1FCAEoggI46AdIM1gEaEaIAQGYATG4ARnIAQ_YAQHoAQH4AQKIAgGoAgO4AoWy7a0GwAIB0gIkYTEyZTE0MmUtNjQzMy00NGRjLWI4NDctMDcyYWRlMjA3OGYw2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-03&checkout=2024-06-09&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&nflt=ht_id%3D204&srpvid=551f3d1d747e00f1&srepoch=1706776913&all_sr_blocks=9277401_107323228_0_2_0&highlighted_blocks=9277401_107323228_0_2_0&matching_block_id=9277401_107323228_0_2_0&sr_pri_blocks=9277401_107323228_0_2_0__101556&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Ilunion Auditori,1.3,3.0,8.2,,5794.0,Double or Twin Room,Beds: 1 double or 2 twins,1016,1257.0,"Eixample, Barcelona",2024/06/03,2024/06/09,Ilunion Auditori,"Located 10 minutes' walk from the Arc de Triomf Metro and Train Station, the Ilunion Auditori features a rooftop swimming pool 9.8 ft wide by 16 ft long and gym. Free WiFi is available throughout.
All modern rooms at the Auditori have wooden floors, air conditioning, a flat-screen TV with satellite channels, and a safe. The private bathrooms include a hairdryer and free toiletries.
This hotel is officially adapted for guests with reduced mobility, accessible rooms are available on request, also for people with auditory and visual impairment.
The Ilunion Auditori serves a daily breakfast and offers à- la-carte dishes made with seasonal products. There is also a special menu for celiac and food intolerant guests. Room service is available during limited hours, and a snack bar is open during the evening. A range of restaurants and bars can be found in the nearby areas of the Eixample, Born and Gothic Quarter.
Guests can enjoy a work out at the gym, which is equipped with cardiovascular equipment. The seasonal rooftop pool, which is surrounded by sun loungers, offers the ideal place for relaxation with stunning views over the city.
Free internet access is available at the computers in the reception area. The famous Barcelona Auditorium is a 5-minute walk away, while the the Sagrada Familia and the Ciutadella Park are 0.9 mi away. Underground private parking is available on site for an additional charge.
This hotel is officially adapted for guests with reduced mobility."
6,https://cf.bstatic.com/xdata/images/hotel/square200/159068009.webp?k=ac4cb89ec55a38f487b30829e6dd9d403bf4d4750ac83240b1e8a5004c348d18&o=,https://www.booking.com/hotel/es/cataloniaaragon.html?label=gen173nr-1FCAEoggI46AdIM1gEaEaIAQGYATG4ARnIAQ_YAQHoAQH4AQKIAgGoAgO4AoWy7a0GwAIB0gIkYTEyZTE0MmUtNjQzMy00NGRjLWI4NDctMDcyYWRlMjA3OGYw2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-03&checkout=2024-06-09&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&nflt=ht_id%3D204&srpvid=551f3d1d747e00f1&srepoch=1706776913&all_sr_blocks=9058707_195192282_0_2_0&highlighted_blocks=9058707_195192282_0_2_0&matching_block_id=9058707_195192282_0_2_0&sr_pri_blocks=9058707_195192282_0_2_0__106956&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Catalonia Sagrada Familia,2.6,3.0,8.2,,7777.0,Double or Twin Room,Beds: 1 double or 2 twins,1070,,"Sant Martí, Barcelona",2024/06/03,2024/06/09,Catalonia Sagrada Familia,"A 15-minute walk from Gaudí's Sagrada Família, Catalonia Sagrada Familia is just 984 feet from Clot Metro and Train Station. It features a restaurant, a seasonal outdoor pool and a gym.
The Catalonia Sagrada Familia features traditional, bright décor and its rooms are have a desk, a mini fridge with complimentary water and a safety deposit box. Free Wi-Fi access is available.
All hotel rooms have smart TVs, which are equipped with Chromecast app.
The restaurant serves a range of Catalan and Mediterranean cuisine, as well as a buffet breakfast. The café-bar offers a selection of drinks and snacks throughout the day and there is also a bar.
Car hire is available on site, and staff at the Catalonia Sagrada Familia’s 24-hour reception can provide information on Barcelona and its many attractions. The hotel is 656 feet from the Torre Agbar Tower.
Clot Metro Station connects guests to the city center in 4 stops and the airport train also stops here."
7,https://cf.bstatic.com/xdata/images/hotel/square200/214451007.webp?k=e40ef245d3de80b798caf065fbfdc91d0e212695a00a9a71bdfc1b6f8ef0cb20&o=,https://www.booking.com/hotel/es/acta-voraport.html?label=gen173nr-1FCAEoggI46AdIM1gEaEaIAQGYATG4ARnIAQ_YAQHoAQH4AQKIAgGoAgO4AoWy7a0GwAIB0gIkYTEyZTE0MmUtNjQzMy00NGRjLWI4NDctMDcyYWRlMjA3OGYw2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-03&checkout=2024-06-09&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&nflt=ht_id%3D204&srpvid=551f3d1d747e00f1&srepoch=1706776913&all_sr_blocks=543679302_217443299_0_1_0&highlighted_blocks=543679302_217443299_0_1_0&matching_block_id=543679302_217443299_0_1_0&sr_pri_blocks=543679302_217443299_0_1_0__128156&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Acta Voraport,2.9,2.0,8.7,,13018.0,Superior Double Room,Beds: 1 double or 2 twins,1282,,"Sant Martí, Barcelona",2024/06/03,2024/06/09,Acta Voraport,"Located in Barcelona, a 10-minute walk from Bogatell Beach, Acta Voraport has accommodations with an outdoor swimming pool, private parking, a terrace and a restaurant. With a bar, the 3-star hotel has air-conditioned rooms with free WiFi, each with a private bathroom. The property provides an ATM, a concierge service and organizing tours for guests.
At the hotel, all rooms include a desk and a flat-screen TV. Each room is equipped with a safety deposit box and some have city views. At Acta Voraport the rooms are equipped with bed linen and towels.
Guests at the accommodation can enjoy a buffet breakfast.
Speaking Catalan, English, Spanish and French, staff are willing to help at the 24-hour front desk.
Popular points of interest near Acta Voraport include Mar Bella Beach, Nova Icaria Beach and Somorrostro Beach. The nearest airport is Barcelona-El Prat Airport, 9.3 miles from the hotel."
8,https://cf.bstatic.com/xdata/images/hotel/square200/319123673.webp?k=ca2c2311afdda2588642ee35466f1557a938122524512f56d80d465435e4fca6&o=,https://www.booking.com/hotel/es/catalonia-eixample-1864.html?label=gen173nr-1FCAEoggI46AdIM1gEaEaIAQGYATG4ARnIAQ_YAQHoAQH4AQKIAgGoAgO4AoWy7a0GwAIB0gIkYTEyZTE0MmUtNjQzMy00NGRjLWI4NDctMDcyYWRlMjA3OGYw2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-03&checkout=2024-06-09&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&nflt=ht_id%3D204&srpvid=551f3d1d747e00f1&srepoch=1706776913&all_sr_blocks=9058506_194606341_0_2_0&highlighted_blocks=9058506_194606341_0_2_0&matching_block_id=9058506_194606341_0_2_0&sr_pri_blocks=9058506_194606341_0_2_0__121380&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Catalonia Eixample 1864,0.7,3.0,8.4,9.3,3685.0,Standard Double or Twin Room,Beds: 1 double or 2 twins,1214,,"Eixample, Barcelona",2024/06/03,2024/06/09,Catalonia Eixample 1864,"Located in Barcelona’s Eixample district, this 19th-century building offers stylish modern interiors and free WiFi. It is just 984 feet from the designer shops and Gaudí buildings of Passeig de Gràcia Boulevard.
The Catalonia Eixample 1864 is housed in one of the Eixample’s oldest buildings, and its painted façade gives it the Specialty Monument status.
All soundproofed rooms with attached bathroom sleek wooden floors and furniture, air conditioning and all rooms have smart TVs, which are equipped with Chromecast app.. Some rooms have a private terrace and pool.
A buffet breakfast with show cooking is offered every morning at the Sala Minerva; while the hotel's Les Finestres de Llúria restaurant serves traditional Catalan food with a creative twist. Room service is also available.
Catalonia Eixample 1864 features a rooftop swimming pool, sundeck and bar; as well as a gym.
The Catalonia Eixample 1864 is ideally located just a 5-minute walk from Passeig de Gracia Station. Plaza Catalunya Square is a 10-minute walk away.
The hotel offers private parking on-site for an extra cost and an electric vehicle charging station."
9,https://cf.bstatic.com/xdata/images/hotel/square200/71977210.webp?k=661e0af1b1bc963abcea1764120e4fc25cfdecaf88f49d72d89dfc7d3638cee3&o=,https://www.booking.com/hotel/es/zenitbarna.html?label=gen173nr-1FCAEoggI46AdIM1gEaEaIAQGYATG4ARnIAQ_YAQHoAQH4AQKIAgGoAgO4AoWy7a0GwAIB0gIkYTEyZTE0MmUtNjQzMy00NGRjLWI4NDctMDcyYWRlMjA3OGYw2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-03&checkout=2024-06-09&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&nflt=ht_id%3D204&srpvid=551f3d1d747e00f1&srepoch=1706776913&all_sr_blocks=9009902_252942648_2_42_0&highlighted_blocks=9009902_252942648_2_42_0&matching_block_id=9009902_252942648_2_42_0&sr_pri_blocks=9009902_252942648_2_42_0__111680&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Zenit Barcelona,2.1,1.0,8.2,,1477.0,Double or Twin Room,Beds: 1 double or 2 twins,1117,,"Sarrià-St. Gervasi, Barcelona",2024/06/03,2024/06/09,Zenit Barcelona,"Zenit Barcelona is 820 feet from Plaza Francesc Macià on Barcelona’s Diagonal Avenue. This modern hotel offers stylish air-conditioned and soundproofed rooms, with free Wi-Fi and a pillow menu.
The Zenit is a 15-minute walk from Passeig de Gràcia Boulevard, where Gaudí’s famous La Pedrera and Casa Batlló can be found. Plaza Catalunya and Las Ramblas are a further 15 minutes’ walk away.
Rooms at the Zenit Barcelona feature satellite TV and a safe and mini-bar. There is a work desk and a kettle with free tea and coffee set; the private bathrooms come with a hairdryer.
Zenit Hotel’s restaurant offers gourmet Spanish and international cuisine. A special gluten-free breakfast and children's menus are available, and packed lunches and room service can be requested.
There is a 24-hour front desk and a tour desk. A laundry, dry cleaning and ironing service is offered. Parking is available 10 minutes' walk away, for an extra cost."
