,photo_url,link,name,central_distance,sustainability,rating,review_count,room_description,room_specifics,price,original_price,neighborhood_city,comfort_rating,start_date,end_date,name,description
0,https://cf.bstatic.com/xdata/images/hotel/square200/505391017.webp?k=e290f467c47140a6b25d6e8335606dac037f93dfbf0a63a131ffe4c93d51b274&o=,https://www.booking.com/hotel/es/pinar-plaza.html?label=gen173nr-1FCAEoggI46AdIM1gEaEaIAQGYATG4ARnIAQ_YAQHoAQH4AQKIAgGoAgO4Arn07a0GwAIB0gIkYzI0OTVjNGEtMGRiMy00YjczLWIxZmUtMGJhM2E1NGJhNjUx2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-03&checkout=2024-06-09&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&nflt=ht_id%3D204&srpvid=ca9c4db85b0d002a&srepoch=1706785414&all_sr_blocks=1038552101_376348278_2_2_0&highlighted_blocks=1038552101_376348278_2_2_0&matching_block_id=1038552101_376348278_2_2_0&sr_pri_blocks=1038552101_376348278_2_2_0__93015&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Hotel Pinar Plaza,7.8,1.0,8.6,154.0,Standard Double Room,1 queen bed,930,1431.0,"Ciudad Lineal, Madrid",,2024/06/03,2024/06/09,Hotel Pinar Plaza,"Located in Madrid, 1.4 miles from Chamartin Station, Hotel Pinar Plaza provides accommodations with a seasonal outdoor swimming pool, private parking, a garden and a terrace. This 4-star hotel offers room service, a 24-hour front desk and free WiFi. Guests can have a drink at the bar.
The hotel will provide guests with air-conditioned rooms offering a desk, a coffee machine, a fridge, a safety deposit box, a flat-screen TV and a private bathroom with a shower. Rooms contain an electric tea pot, while selected rooms contain a balcony and others also offer city views. At Hotel Pinar Plaza each room includes bed linen and towels.
The accommodation offers a buffet or continental breakfast. At Hotel Pinar Plaza you'll find a restaurant serving Mediterranean cuisine. Vegetarian, dairy-free and vegan options can also be requested.
Santiago Bernabéu Stadium is 3.2 miles from the hotel, while IFEMA Convention Center is 3.8 miles away. The nearest airport is Adolfo Suarez Madrid-Barajas Airport, 5.6 miles from Hotel Pinar Plaza."
1,https://cf.bstatic.com/xdata/images/hotel/square200/503896617.webp?k=66a50b0f5c197decc0e60b8b8a62d652dcec10df566bcbc00c1170d839059032&o=,https://www.booking.com/hotel/es/ac-feria-madrid.html?label=gen173nr-1FCAEoggI46AdIM1gEaEaIAQGYATG4ARnIAQ_YAQHoAQH4AQKIAgGoAgO4Arn07a0GwAIB0gIkYzI0OTVjNGEtMGRiMy00YjczLWIxZmUtMGJhM2E1NGJhNjUx2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-03&checkout=2024-06-09&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&nflt=ht_id%3D204&srpvid=ca9c4db85b0d002a&srepoch=1706785414&all_sr_blocks=9407108_274565073_0_2_0&highlighted_blocks=9407108_274565073_0_2_0&matching_block_id=9407108_274565073_0_2_0&sr_pri_blocks=9407108_274565073_0_2_0__80410&nad_id=62ea9ce4-51df-488e-af6e-ddc1f08b3ba2_4&nad_cpc=0.55&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6InZOa1hJVkluakhIQnQxeVBVRnBXWGJuRThhL0IxY1FEYkl6YTd6aDJyS3dkUDhkWk1QQXpFSWxLSGNiLzUxNEdiL3M3OXR6OVpSWFpoK2NEaGZoV2REeHdPQ2ZubTlobFMxbnlJdjRUVmVmcEg1VHN6SjdpaVJXcmhzaWVEZHRYL25rdXdGMjUvWEo5SkI1ZGJnOWxOTWVlNHA1SEtXcGJ3bnkzSUxZQjB6cDBRRk9sOUdablBtMmlGRnZWaEFRRWhQQlV0MUlmZmY3SW9XWWZ5R3RkK1hhWWlnalk1K1cxQ2tTN0JTY1IzUDRBdSswaFJQa0VSa1k2ajFEOUhzUC9jTDdxUjZoUDJwOXlXKzVhaDQybjh1d0hwQmJ5eTZXWGgybGNIZDZ3UndtT2hXZExFUWFpMmR3T1ZPWDQ4SVUyd1llR1F4RklBajhVRXZidExaekZrWHJDOEIxL3MybTFsb0Fab2MwSE04Kzl5Y2xOVTV4dzVJRU5lYWZRRDZ0b2hZN3ZjTFZxKzBvTkovc0NFNFlrYjNzcS9iREx2KzN6SXBNNEhhNDh5alNSS2VYRjZrTXdmcDRTdGN6UVFlSlhYTDZYcmxEalpDQWFLeWwwZVJFdE40QjRKbXExV0hacktoY0RuZER6aWlvSExUbldMYmdIZkVOVlNoeFVWVjQ4QlF1L3Z4SWVoYkp3TFRoVGRZeXhSd01kZWlWMEtQUUNGZTJ3SlQ3OE5YQ1VkNzhEbGZHZ2dETVlzbkdob3ZWWGt6STUvK1h4dHJPZzNESS9ISnNrMlordTlQWitiZ1RnWWRlUGVISU9Sb00wc3Vzc3NLSHR1U0FJZEJDTkpwMXdlbnBkUDVoQ09tWVBBUEpWZ2QyS3B3cWFWUnhjWUd3L1FPbUNEbXdVOGlsdFoydEdvMVlWSHRvNWFobzFSRGFGYlY3RHV4c0Z1bC80Nnp4TSt0akxrS25nSjdpczdKdnVTbUV1elphellUeFBRY05CY3gwUEs0ekVZK2RSRk8vcG8vS3NPRXUwNmhHK28zR0JLTkJpMitNa3F1SWJ0a3Qxd29Jb282VldzeUhEV0xXTGtocnNJQVVTUWordjlGRSs5aHhRaFBvN0ZvelBNZWFocGNWOWpJZ3Z3NjU5MHJveVptdGtOSnVObGhkTjhvdFkvTjlzV3luMTNUTFI0VWhPdzBUQzRBUWhjQ0d6amtFZmZLTHY3QUhlYjNFZng3Q1dDcHBiZEcwMmZUbUYzeUFUWVdXQWd5YTJqZlNhOEsxNHRDcVhjc2d4NEEyUW1ET1ZteFoyQTYwZnVVbTVINmJXOTk3MzVXbGhMdGJ2L2VHaEkrakFWa2ltNUNUUEY4WUZmVER1aWdUNGJGRXNHUnB0QkVYcVFnN0hXVVlXS2Zxd0hIaVFBekg2QzJLYnp2RmlCOUNRamlmUEtMVFJwdm5kNVQrRFpzL1BQQU05QlYvWWdZTmQvc01sejhYVXV6WTlXdzVlS1kxeGovN1VPM29EcitsSjNLOTRnbzN6NG0vNzlZVENNRDM2RW84bDJLc0pNTWVpclBXTGI3WGV0N1dtOHhZcVZFRWo1L0lVZDE0ZGRoeW5KbXAyZkZHMlY4cVo1R1F3Q2l1MGMxQVdYQ2RQbkZLOEZCYlVEdGVmcmwySVJxa2N3MGtBNHRwNU83RzV4NFRMZ1lRRldHbDUvdGNKdFd4SmVhWU10QnNDRTQ3blZvR0ZneXhwak9obXNrOE55QkVHaGFtdUhxT3BUR1BhN2o3eFJBdzAvS0czNHZ6clo0aVVNc2xyL0tMR2RybXd6ZmIzYkNrV3V1MHlNbmNoNDFMZ253TC9jSTg3cVl0d21lNk1yNjNUb3RhYmpCSy9oRC93RXBvTkV1bC80L2hjOTJQRitPYzVLblFWR3lqcTJEUzRYc2dyR3pIejNPeDlScU9wbnZxVFV3alE4U1o4VWM4YWZnbGpreENhaEt3dHU0ejhuUDIvZVJVcHByK1NpOExPNUdxUjl4dlBtNmcwSXpWNjdRdVBsendsalo0SnJpYXRGYnkxVXRDRzF5K1VIWDdvOCt3anJQdHFMOGJRb3BuWHVxMG5Rd1JyMW11Rm9MU25uRW42VTRrVGEvb3RYbU1teVFmT0lsZVNIZjZ5U1U4dVhERXdLbEJjclBvTXdjK3hWQkdYbzlkSFFjZGF2TTd0TEQ4N3l4cFptVTVSbHpqaHpaY0E0OGxZK2NiMnJqY1F5ZHZzOVFCSzZrdHJRK24wTU0rTTUraTRTREN6OGUzTHZQN3RuTjNSR3dSVG0zODNlR0k3VWFrRmJOVXhXcUJyUVQySjZvc3BMUGFSa3FVSFF3SmJIbUNqQ3hYcUxrWnZ6cSs0Wnc2aGlac05jaDZLd2lqWmFadVlWRElxT0tTbHNIUVUrS2dlUXIvRDVVZCtQVkR5SmZQVDMxRHdsQWlvajZSbmZ6ZHZxaDZsS1ZBdXJicXNpT2xJa0pJK0JvbFRKUHJGeHlFQ2g0OXpNM1ZuQnVSUUZVNEM3Qm0zcmR0TktGd25wUUNFclJjOGNieUc5RTVYNnFEbCtIU0g2OTRDMUh3bjA3NGRCQjJ0SnpvZGxNeXNoVEt1cFpBOE5mSHVGL0d5bEVsVjUwUmoxZHlGMDJGRXBDZitNWkVUOE9kMndJaGlBdCtUaGhHdUg5NG5VSkJ0UXppdzQvWFZFcUNFTk9yL1Nwd1dSRW5GWE56S3lNTVlTd2VNdExoZ2FlMS81UmRvNUtJNUJhdXJWUFp0N1RtSkZ5ZVpVL0huV3d6UXFKMnhjelFHbEVibTJ6REF3bHFTaWowbngxNjZZMWU4UkpQL0JtOENucTh1Q1IxTnlKbVc5aUFvSGZrZmdhclFNUWpZdW5EaWY1d1M0NFlMU0R5aEk1S29pcXMyY1hvd2JkZ0JIcERTd0I4RmVxSUh6cVdEUjJ0UStkYUdQbG4wSm9qMlJuRi85Nk1SN1RPaGZ3MHZlNzZBR1g0QWVrTkdlUFhzRmhNeXllSHUzUnA4emFoSFY3dytpekhaTkxGdHRsOWUyRUtYWnJPTWREWjY3ZFlkdXRyVmZhanQyT3JhbHBhMWZRRU1oZ0I1ME93TFVEdXlxZmxxbUZDa083OUlPM1JVMU4xY1MxNFcwUFdDMDdQdllCc3JPOTNXZlUzQnlnZzZETHp0ZkYxbFZycU5MYWFhZG1IL1djeXdGcDExQktzWXo3c0h0QWdqWGJ3bk1qRVJ2V1NMbDYrR1g1TkQifQ%3D%3D&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,AC Hotel Madrid Feria by Marriott,8.7,3.0,8.7,1415.0,King Room,1 king bed,804,,"Hortaleza, Madrid",,2024/06/03,2024/06/09,AC Hotel Madrid Feria by Marriott,"This modern hotel is located just 5 minutes’ drive from Madrid’s Campo de las Naciones. On week days it offers a free shuttle to IFEMA Congress Center and the Palacio Municipal de Congresos, located 5 minutes away.
The elegant rooms at AC Hotel Madrid Feria feature parquet floors and smart décor. Each one comes with flat-screen satellite TV, a mini-bar and a private bathroom with a hairdryer. Free WiFi is available in all areas.
The hotel’s AC Lounge serves a range of Spanish and international food, as well as a good selection of wines, snacks and drinks.
The hotel has a free 24-hour fitness center. Staff at reception can provide information about what to see and do in Madrid. They can also reserve tennis or padel courts or arrange reservations at El Olivar de Hinojosa Golf Course.
Madrid’s Barajas Airport is a 10-minute drive from the hotel, and there is easy access to the M-40 Motorway. San Lorenzo Metro Station connects you with central Madrid in around 20 minutes. Ciudad Deportiva del Real Madrid Sport Complex is a 10-minute drive from the hotel.
Shuttle service upon availability.
Distance in property description is calculated using © OpenStreetMap
Show me more"
2,https://cf.bstatic.com/xdata/images/hotel/square200/351098208.webp?k=0a45600a7d7acc8712aff436ea16d5a67dd956dd6900480c3f45ae76aa509d26&o=,https://www.booking.com/hotel/es/axel-madrid-madrid12345678.html?label=gen173nr-1FCAEoggI46AdIM1gEaEaIAQGYATG4ARnIAQ_YAQHoAQH4AQKIAgGoAgO4Arn07a0GwAIB0gIkYzI0OTVjNGEtMGRiMy00YjczLWIxZmUtMGJhM2E1NGJhNjUx2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-03&checkout=2024-06-09&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&nflt=ht_id%3D204&srpvid=ca9c4db85b0d002a&srepoch=1706785414&all_sr_blocks=243898501_249063127_0_2_0&highlighted_blocks=243898501_249063127_0_2_0&matching_block_id=243898501_249063127_0_2_0&sr_pri_blocks=243898501_249063127_0_2_0__112541&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Axel Hotel Madrid - Adults Only,400.0,2.0,8.4,3993.0,Double or Twin Room,Beds: 1 double or 2 twins,1125,,"Madrid City Center, Madrid",9.3,2024/06/03,2024/06/09,Axel Hotel Madrid - Adults Only,"Set in Madrid city center, Axel Hotel Madrid - Adults Only offers accommodations only 15 minutes’ walk away from Chueca, known by its LGBT atmosphere and welcoming entertainment offer, the hotel is hetero-friendly too.
Every stylish room at this hotel is air conditioned and has a TV. The rooms include a private bathroom with free toiletries, bathrobes and a hairdryer.
Axel Hotel Madrid offers a restaurant where you can enjoy a modern approach to the local food. There is a roof-top terrace with its sky bar and a pool with stunning city view. A Cocktail bar can be found at this property as well.
Plaza Mayor is 1969 feet from Axel Hotel Madrid - Adults Only, while Atocha train station is 15 minutes’ walk away. The nearest airport is Adolfo Suarez Madrid-Barajas Airport, 8.1 mi from Axel Hotel Madrid - Adults Only."
3,https://cf.bstatic.com/xdata/images/hotel/square200/257978302.webp?k=f8f1b6ecdc9cf9abf99c7d2fe9438fcb42707aefe478c754a59008b4b9f6c6b5&o=,https://www.booking.com/hotel/es/velada-madrid.html?label=gen173nr-1FCAEoggI46AdIM1gEaEaIAQGYATG4ARnIAQ_YAQHoAQH4AQKIAgGoAgO4Arn07a0GwAIB0gIkYzI0OTVjNGEtMGRiMy00YjczLWIxZmUtMGJhM2E1NGJhNjUx2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-03&checkout=2024-06-09&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&nflt=ht_id%3D204&srpvid=ca9c4db85b0d002a&srepoch=1706785414&all_sr_blocks=9340615_335654223_0_2_0&highlighted_blocks=9340615_335654223_0_2_0&matching_block_id=9340615_335654223_0_2_0&sr_pri_blocks=9340615_335654223_0_2_0__73710&from=searchresults#hotelTmpl,Elba Madrid Alcalá,6.6,,8.7,7124.0,Standard Double Room,Beds: 1 double or 2 twins,737,,"San Blas, Madrid",,2024/06/03,2024/06/09,Elba Madrid Alcalá,"Elba Madrid Alcalá is ideally located between the city center and Madrid IFEMA congress center.
All the spacious rooms offer plenty of natural light, high-speed WiFi, flat-screen TV and private bathroom with hairdryer and toiletries.
Located on the ground floor, the restaurant offers Mediterranean food and local dishes. There is also a café bar and a dining room. Buffet breakfast is served daily.
Restaurants and shops can be found within walking distance, but the Elba Madrid Alcalá is also located 5-minutes’ walk away from the metro station Ciudad Lineal, offering access to the city center in 15 minutes."
4,https://cf.bstatic.com/xdata/images/hotel/square200/39548197.webp?k=d40255337094d35e1d8ca0c833c1ac507af4db37c058e72c466c624eb9474afd&o=,https://www.booking.com/hotel/es/apartamentos-juan-bravo.html?label=gen173nr-1FCAEoggI46AdIM1gEaEaIAQGYATG4ARnIAQ_YAQHoAQH4AQKIAgGoAgO4Arn07a0GwAIB0gIkYzI0OTVjNGEtMGRiMy00YjczLWIxZmUtMGJhM2E1NGJhNjUx2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-03&checkout=2024-06-09&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&nflt=ht_id%3D204&srpvid=ca9c4db85b0d002a&srepoch=1706785414&all_sr_blocks=1241013_354411197_2_0_0&highlighted_blocks=1241013_354411197_2_0_0&matching_block_id=1241013_354411197_2_0_0&sr_pri_blocks=1241013_354411197_2_0_0__69250&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Apartamentos Juan Bravo,3.0,1.0,8.1,3957.0,Studio,1 full bed,693,,"Salamanca, Madrid",,2024/06/03,2024/06/09,Apartamentos Juan Bravo,"The Juan Bravo Apartments are situated in the exclusive Salamanca district of Madrid and feature a communal swimming pool, open in summer. Diego de León Metro Station is located across from the apartments.
The complex conveniently includes a 24-hour front desk. The apartments and studios are arranged around the pool, and there is also a small garden and patio.
All accommodations include a lounge area and TV. Apartamentos Juan Bravo feature a kitchenette equipped with a microwave and fridge. They also have a private bathroom.
Many bars, restaurants and supermarkets can be found in the surrounding streets.
The M30 and M40 Motorways are just a 2-minute drive from the apartments, providing easy access to other cities. Barajas Airport is a 15-minute drive away. Parking is available on site for an extra fee."
5,https://cf.bstatic.com/xdata/images/hotel/square200/210030649.webp?k=c32c4d12763b5f5c0458e0d57b6df48ad0750c9928d7538014a04f8065e5a256&o=,https://www.booking.com/hotel/es/granversalles.html?label=gen173nr-1FCAEoggI46AdIM1gEaEaIAQGYATG4ARnIAQ_YAQHoAQH4AQKIAgGoAgO4Arn07a0GwAIB0gIkYzI0OTVjNGEtMGRiMy00YjczLWIxZmUtMGJhM2E1NGJhNjUx2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-03&checkout=2024-06-09&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&nflt=ht_id%3D204&srpvid=ca9c4db85b0d002a&srepoch=1706785414&all_sr_blocks=9137302_185376677_2_2_0&highlighted_blocks=9137302_185376677_2_2_0&matching_block_id=9137302_185376677_2_2_0&sr_pri_blocks=9137302_185376677_2_2_0__91200&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Gran Versalles,1.4,1.0,8.5,6598.0,Double or Twin Room,Beds: 1 double or 2 twins,912,,"Chamberi, Madrid",9.3,2024/06/03,2024/06/09,Gran Versalles,"Gran Hotel Versalles is in a quiet area of central Madrid, next to Alonso Martínez Metro Station. It is a classic-style hotel offering a 24-hour front desk and free Wi-Fi.
The Versalles is just a 5-minute walk from the vibrant Chueca district. Alonso Martínez is a major metro station and from here you can reach the Art Triangle in around 15 minutes.
The air-conditioned rooms at the Versalles Gran Hotel feature carpeted floors. They come with satellite TV and a private bathroom with a hairdryer.
The hotel’s Café Luxemburgo offers tapas and drinks throughout the day. There are various bars and restaurants in the surrounding area."
6,https://cf.bstatic.com/xdata/images/hotel/square200/93641313.webp?k=c0794605063cfdf25d1a2b9439986f2b3a58f6225859110f43faeaf21951f25b&o=,https://www.booking.com/hotel/es/dear.html?label=gen173nr-1FCAEoggI46AdIM1gEaEaIAQGYATG4ARnIAQ_YAQHoAQH4AQKIAgGoAgO4Arn07a0GwAIB0gIkYzI0OTVjNGEtMGRiMy00YjczLWIxZmUtMGJhM2E1NGJhNjUx2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-03&checkout=2024-06-09&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&nflt=ht_id%3D204&srpvid=ca9c4db85b0d002a&srepoch=1706785414&all_sr_blocks=137682301_363286250_2_2_0&highlighted_blocks=137682301_363286250_2_2_0&matching_block_id=137682301_363286250_2_2_0&sr_pri_blocks=137682301_363286250_2_2_0__117100&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Dear Hotel Madrid,0.9,3.0,8.8,10724.0,Deluxe Double or Twin Room,Multiple bed types,1171,,"Madrid City Center, Madrid",9.7,2024/06/03,2024/06/09,Dear Hotel Madrid,"Located 1 minute's walk from Plaza de España Metro Station on Gran Via, Dear Hotel Madrid offers boutique accommodations in central Madrid. The hotel features a rooftop plunge pool, terrace and restaurant.
Featuring free high-speed WiFi, each stylish bright room is air-conditioned and fitted with a 40-inch flat-screen TV with satellite channels. All the spacious rooms are soundproofed and include a safe, a mini-bar with free mineral water, a speaker for smartphones, and tea and coffee making facilities. Private bathrooms include a rain shower, bathrobe, slippers and exclusive free toiletries.
Set on the 14th floor, the Nice to Meet You Restaurant & Lounge offers contemporary and cosmopolitan cuisine in a relaxed atmosphere. Guests can enjoy cocktails and music, with spectacular panoramic views of Madrid. An exclusive buffet breakfast is also offered.
Other services available include a room service.
You can walk to Royal Palace of Madrid in 10 minutes. Puerta del Sol and Plaza Mayor are a 15-minute walk. Adolfo Suárez Madrid-Barajas is 13 mi away."
7,https://cf.bstatic.com/xdata/images/hotel/square200/66980623.webp?k=c9730e9ea8545c4a404e97b6888babb8b8f3822e12cedec601a9611aa3a7e004&o=,https://www.booking.com/hotel/es/emperador.html?label=gen173nr-1FCAEoggI46AdIM1gEaEaIAQGYATG4ARnIAQ_YAQHoAQH4AQKIAgGoAgO4Arn07a0GwAIB0gIkYzI0OTVjNGEtMGRiMy00YjczLWIxZmUtMGJhM2E1NGJhNjUx2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-03&checkout=2024-06-09&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&nflt=ht_id%3D204&srpvid=ca9c4db85b0d002a&srepoch=1706785414&all_sr_blocks=9360401_356858511_0_2_0&highlighted_blocks=9360401_356858511_0_2_0&matching_block_id=9360401_356858511_0_2_0&sr_pri_blocks=9360401_356858511_0_2_0__121000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Emperador,0.7,1.0,8.6,8028.0,Double or Twin Room,Beds: 1 double or 2 twins,1210,,"Madrid City Center, Madrid",9.7,2024/06/03,2024/06/09,Emperador,"Located in the heart of Madrid, Emperador is set next to Madrid’s Gran Vía. This elegant hotel offers a seasonal rooftop swimming pool and terrace with fantastic city views.
The elegant and stylish rooms offer accommodations with free WiFi, flat-screen TV and private bathroom with marble floors.
Emperador is just 10 minutes’ walk from the Royal Palace and Puerta del Sol, Madrid’s main square. Santo Domingo, Plaza de España and Callao Metro Stations are within a 3-minute walk, connecting you with the famous Art Triangle in just 15 minutes.
Open from May to September, the Emperador offers a seasonal swimming pool and solarium with sun loungers. The cocktail-bar located at the terrace features with views of the Royal Palace, Almudena Cathedral and Gran Vía Avenue.
The hotel has a lobby bar with a permanent art-gallery offering temporary exhibitions. There is a variety of restaurants within a 5-minute walk of the Emperador.
Other useful facilities at the hotel include a hairdressing salon and a 24-hour reception."
8,https://cf.bstatic.com/xdata/images/hotel/square200/10606714.webp?k=7e8ed8e4ff1d95973abb5b8d26fd4f9d896b9ce16aa46ccb623f6a87b4495203&o=,https://www.booking.com/hotel/es/cortezo.html?label=gen173nr-1FCAEoggI46AdIM1gEaEaIAQGYATG4ARnIAQ_YAQHoAQH4AQKIAgGoAgO4Arn07a0GwAIB0gIkYzI0OTVjNGEtMGRiMy00YjczLWIxZmUtMGJhM2E1NGJhNjUx2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-03&checkout=2024-06-09&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&nflt=ht_id%3D204&srpvid=ca9c4db85b0d002a&srepoch=1706785414&all_sr_blocks=9443201_338171752_0_2_0&highlighted_blocks=9443201_338171752_0_2_0&matching_block_id=9443201_338171752_0_2_0&sr_pri_blocks=9443201_338171752_0_2_0__99000&from=searchresults#hotelTmpl,Hotel Cortezo,350.0,,8.1,7201.0,Double or Twin Room,Beds: 1 double or 2 twins,990,,"Madrid City Center, Madrid",9.4,2024/06/03,2024/06/09,Hotel Cortezo,"Located 984 feet from Madrid’s Puerta del Sol and Plaza Mayor Square, Hotel Cortezo has a rooftop terrace overlooking the city. This chic hotel offers a 24-hour reception and free Wi-Fi.
Rooms at Hotel Cortezo have simple, elegant décor, with hardwood floors. All rooms include air conditioning and flat-screen TVs.
The Hotel Cortezo serves a varied American-style buffet breakfast including a gluten-free corner, and there is an on-site café and bar. There are also many characteristic tapas bars within a 5-minute walk, in the popular Plaza Santa Ana Square and La Latina district.
The museums of Madrid’s Art Triangle are all less than 15 minutes’ walk from Hotel Cortezo. Atocha AVE Train Station is 15 minutes' walk from the hotel, and Tirso de Molina Metro Station is just 328 feet away."
9,https://cf.bstatic.com/xdata/images/hotel/square200/481046476.webp?k=7f5527cc6114887551df6b9eaba56612ebb3de4c355a4a3e460c5ea38d36b3b7&o=,https://www.booking.com/hotel/es/hotel-artiem-madrid.html?label=gen173nr-1FCAEoggI46AdIM1gEaEaIAQGYATG4ARnIAQ_YAQHoAQH4AQKIAgGoAgO4Arn07a0GwAIB0gIkYzI0OTVjNGEtMGRiMy00YjczLWIxZmUtMGJhM2E1NGJhNjUx2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-03&checkout=2024-06-09&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&nflt=ht_id%3D204&srpvid=ca9c4db85b0d002a&srepoch=1706785414&all_sr_blocks=9389901_380206831_0_2_0&highlighted_blocks=9389901_380206831_0_2_0&matching_block_id=9389901_380206831_0_2_0&sr_pri_blocks=9389901_380206831_0_2_0__78504&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,ARTIEM Madrid,5.5,3.0,9.3,1919.0,Standard Double or Twin Room,Beds: 1 double or 2 twins,785,,"Ciudad Lineal, Madrid",,2024/06/03,2024/06/09,ARTIEM Madrid,"ARTIEM Madrid is located in Madrid’s commercial center, a 15-minute drive from Barajas Airport. Free WiFi is provided.
Rooms are comfortable and spacious. All have air conditioning, satellite TV, and living area with a desk, as well as a private bathroom with a rainshower, hairdryer, and free toiletries.
Breakfast is served in The Slow Lounge, while a selection of food and drinks is available in the hotel's 24-hour The Green.
Bus and Metro stops can be found within walking distance. The nearest Metro stop is Barrio de la Concepción, just 1640 feet away.
The hotel has easy road access to Barajas Airport and IFEMA events center is 3.1 mi away from the property. Santiago Bernabeu football stadium is just 2.2 mi away. There is parking with direct access to the hotel."
